materialName,distributor,location,oldPrice,newPrice,changeDate,changeReason
Atlas Lifetime Pro 30-Year Architectural Shingle Charcoal,ABCSupply,DFW,120.00,125.50,2024-08-15,Market adjustment
GAF Timberline HD Charcoal,Beacon,DFW,115.25,118.75,2024-09-01,Supplier increase
Malarky Windsor Storm 30-Year,SRSProducts,DFW,128.00,132.25,2024-09-15,Material cost increase
Owens Corning Duration Storm 30-Year Driftwood,ABCSupply,DFW,125.50,128.90,2024-10-01,Supply chain impact
IKO Cambridge Dual Black,Beacon,DFW,112.00,115.00,2024-10-15,Seasonal adjustment
GAF Tiger Paw Synthetic Underlayment,ABCSupply,DFW,85.50,89.99,2024-11-01,Raw material cost
Atlas Pro-Cut Hip & Ridge Shingles,SRSProducts,DFW,65.00,67.50,2024-11-15,Labor cost increase
Malarky Legacy Slate 50-Year Warranty,Beacon,ATX,140.00,145.75,2024-08-20,Premium product adjustment
GAF Timberline UHD Weathered Wood,ABCSupply,ATX,118.50,122.00,2024-09-05,Regional demand
Owens Corning TruDefinition Duration Estate Gray,SRSProducts,ATX,131.00,135.25,2024-09-20,Market conditions